,sentence,logprob.Copy+SS,logprob.NoCopy,length,check.prob.copy+ss,n.parses.copy+ss
165,aiz.aja.aiz.aje.aja.aiz.aua,-30.830540999999997,-29.59675,7,-30.830541085509356,1806
166,aja.aiz.aua.aua,-17.163353,-16.952978,4,-17.16335308608397,25
167,aiy.ajd.ats.aua.aua.ats,-24.732441,-25.419592,6,-24.732440926099432,450
168,agc,-4.472371,-4.811797,1,-4.472370579680001,1
169,aix,-5.475404,-5.910409,1,-5.4754037569300005,1
170,acb.ace.ave.bbl.bbl,-26.488209,-28.39087,5,-26.488209236481584,101
171,ajd.aua.amb.acs.amb.acs.aua.awi.aua.aiz.aja.aiz.aje.aqf.ban.acb.aiy,-75.402822,-79.388085,17,0.0,0
172,agc,-4.472371,-4.811797,1,-4.472370579680001,1
173,aix,-5.475404,-5.910409,1,-5.4754037569300005,1
174,ats.aua.aua.ats.aua.ban.acb.ban.aiz.aja.aiz.aje.aja.aiz.aiy.ajd.aiy,-72.20146,-72.110049,17,0.0,0
175,agq.agq.agu,-13.269192000000002,-16.703935,3,-13.269191586408928,8
176,bbf.bbg.bbh.bbg.bbh.aob.aob.aob.baw,-35.205433,-40.775696,9,-35.205432599043014,53128
177,agb.aaw,-14.998629000000001,-14.661214000000001,2,-14.998628884087148,2
178,amb.acs.amb.acs.amb.aiz.aja.aiz.acb.amb.acs.amb.acs.amb.aiz.aja,-59.013817,-70.385002,16,0.0,0
179,ajd.aiy.ajd.aua.ats.aua.aua.ats.aiz.aja.aiz,-46.337841,-44.968852000000005,11,-46.337840531503076,1179870
180,aiz.aje.aua.aua.ats.aua,-25.36329,-25.23483,6,-25.36329034657662,456
181,agp.ago.agp.ago,-11.714461,-18.310427,4,-11.71446145346638,24
182,agq,-5.1891,-5.659095,1,-5.18909978427,1
183,bbc.bba.bbb.bbc.bba.bbb.bbc,-19.194460999999997,-25.018615,7,-19.19446050927704,1824
184,aiy.ajd.aiy.ajd.aua.ats.aua.aua.aiz.aja.aiz,-38.016676000000004,-43.414223,11,-38.016675986360546,1195164
